[02-12 14:14:42]create bugbear1070  pos = 95965 259132, angle = 145, rTime = 14400
[02-12 14:14:42]create bugbear207  pos = 149713 294821, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 149950 294732, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 154553 297887, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 155361 297050, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 158583 297397, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 158454 297283, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 165274 298092, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 165150 298115, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 165931 299730, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 165815 299826, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 167926 299902, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 169089 302216, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 168941 302331, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 169351 308119, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 169051 308058, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 162806 311740, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear207  pos = 162727 311637, angle = 145, rTime = 40
[02-12 14:14:42]create bugbear461  pos = 199946 331067, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 187701 311823, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 187901 314455, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 187695 316827, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 195267 316664, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 193350 319606, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 199741 320864, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 195085 325739, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 203119 326314, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 205786 330201, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 198728 330917, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 157650 73116, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 154700 68109, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 158909 68468, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 157246 71674, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 161623 72730, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 165489 70120, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 167196 72717, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 165311 75075, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 158038 74513, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 156958 72592, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 178038 74513, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 168038 74513, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 239969 282488, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 227004 289882, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 234787 287226, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear461  pos = 239449 282396, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 323473 325918, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 324225 309189, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 330438 308026, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 334589 307924, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 341782 305437, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 346392 308647, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 350346 314279, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 348838 318237, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 348832 323516, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 345991 331423, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 336230 332635, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 332396 333288, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 347721 70075, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 349027 69694, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 354114 68642, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 357425 70035, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 362079 70350, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 363164 76322, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 363729 81778, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 362258 84628, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 360299 85949, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 355451 88482, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 351784 86410, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 346865 86679, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 345071 78975, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 345585 73888, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 218150 106241, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 214690 106006, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 218058 105918, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 220865 105583, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 224330 105822, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 228563 106311, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 232090 107658, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 231718 117815, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 227819 119594, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 225522 123241, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 220744 119776, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 216354 119003, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 212862 116190, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 212072 110958, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear462  pos = 213470 106848, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear460  pos = 34561 97916, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear460  pos = 95420 94413, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear460  pos = 76671 95670, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear460  pos = 65404 88066, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear460  pos = 53678 97941, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear460  pos = 50585 104424, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear460  pos = 41810 107347, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear460  pos = 28750 104669, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear460  pos = 33861 97283, angle = 145, rTime = 60
[02-12 14:14:42]create bugbear213  pos = 225864 251033, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 205050 251080, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 203312 250354, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 204759 251851, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 205831 251676, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 208606 250798, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 207927 252506, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 209658 251798, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear229  pos = 204821 251418, angle = 145, rTime = 300
[02-12 14:14:42]create bugbear213  pos = 211473 251351, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 211310 252161, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 212918 251404, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 213929 252287, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 216394 251545, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 218024 251127, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 219158 250744, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 220159 252691, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 222188 251344, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 223661 251161, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 227563 250227, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 228770 250926, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 227459 251542, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 228548 252462, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 228597 254121, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 229744 254734, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 228705 255530, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 229225 256425, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 229680 257153, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 229043 257896, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 229620 258516, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 200695 280442, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 199184 280074, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 199845 281062, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 201166 281081, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 202337 280246, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 203821 280910, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 204981 280480, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 206654 281243, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 207805 280515, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 208739 281498, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 210049 280724, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 211480 280532, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 212538 280688, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 214281 280829, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 198970 283800, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 198440 282987, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 197282 298295, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 198636 296405, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 197732 294519, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 198718 292058, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 198473 290338, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 199398 286911, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 199335 284389, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 199312 284114, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 199268 282834, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 198226 283791, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 198238 284358, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 193238 298343, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 196755 300195, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 179022 297961, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 178936 299411, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 180143 298850, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 181243 297744, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 188928 299802, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 188117 298891, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 185318 298410, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 185378 299753, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear213  pos = 182127 298869, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear214  pos = 179595 298734, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear214  pos = 181329 298609, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear214  pos = 184161 298441, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear214  pos = 184701 299448, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 170746 296787, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 172428 295979, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 174948 297275, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 177720 298777, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 187260 299964, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 191269 298418, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 195983 298360, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 194257 298507, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 192827 299454, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 186803 298111, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 176739 297157, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 172937 297423, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 171205 298115, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 173690 295599, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 190189 298400, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 192992 298481, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear31  pos = 173429 312857, angle = 250, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 170572 298335, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 169660 299179, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 170901 299846, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 171298 301726, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 172385 303425, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 173105 305189, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 172310 306820, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 173330 308645, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 172405 310547, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 174139 311606, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 173021 313140, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 173732 315335, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 172863 317240, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 173666 319217, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 172261 321305, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear31  pos = 172102 304995, angle = 250, rTime = 15
[02-12 14:14:42]create bugbear31  pos = 172188 306108, angle = 250, rTime = 15
[02-12 14:14:42]create bugbear31  pos = 173355 305852, angle = 250, rTime = 15
[02-12 14:14:42]create bugbear31  pos = 172268 307568, angle = 250, rTime = 15
[02-12 14:14:42]create bugbear31  pos = 172252 309007, angle = 250, rTime = 15
[02-12 14:14:42]create bugbear31  pos = 173489 310008, angle = 250, rTime = 15
[02-12 14:14:42]create bugbear31  pos = 173745 310948, angle = 250, rTime = 15
[02-12 14:14:42]create bugbear31  pos = 172728 312332, angle = 250, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 144242 322393, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 152199 323658, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 150284 324323, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 151203 322689, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear292  pos = 149518 323234, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 147984 323191, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear292  pos = 127187 321586, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 128002 323209, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear214  pos = 129022 322921, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear214  pos = 139437 323930, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear214  pos = 141589 323902, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear292  pos = 146370 323163, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 148666 321475, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 144861 322029, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 140102 321263, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear292  pos = 136730 323122, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 137155 321775, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 139931 322629, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear292  pos = 142440 322010, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear69  pos = 166147 322303, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 159272 322672, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 160844 323213, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear70  pos = 160232 322981, angle = 145, rTime = 15
[02-12 14:14:42]create bugbear39  pos = 166726 323074, angle = 145, rTime = 15
