[02-12 14:14:40]AddBoatLevel: count, level, money, exp 1  2  2  4  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 52  53  25950  2809  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 53  54  29483  2916  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 54  55  33492  3025  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 55  56  38041  3136  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 56  57  43202  3249  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 57  58  49058  3364  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 58  59  55703  3481  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 59  60  63242  3600  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 60  61  71795  3721  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 61  62  81499  3844  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 62  63  92508  3969  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 63  64  104997  4096  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 64  65  119167  4225  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 65  66  135242  4356  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 66  67  153480  4489  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 67  68  174170  4624  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 68  69  197644  4761  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 69  70  224276  4900  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 70  71  254492  5041  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 71  72  288773  5184  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 72  73  327669  5329  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 73  74  371800  5476  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 74  75  421875  5625  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 75  76  478692  5776  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 76  77  543165  5929  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 77  78  616324  6084  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 78  79  699344  6241  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 79  80  793558  6400  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 80  81  900478  6561  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 81  82  1021822  6724  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 82  83  1159542  6889  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 83  84  1315855  7056  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 84  85  1493277  7225  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 85  86  1694669  7396  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 86  87  1923279  7569  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 87  88  2182797  7744  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 88  89  2477417  7921  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 89  90  2811902  8100  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 90  91  3191665  8281  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 91  92  3622858  8464  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 92  93  4112469  8649  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 93  94  4668443  8836  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 94  95  5299809  9025  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 95  96  6016828  9216  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 96  97  6831164  9409  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 97  98  7756078  9604  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 98  99  8806644  9801  
[02-12 14:14:40]AddBoatLevel: count, level, money, exp 99  100  10000000  10000  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 1  2  2  4  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 2  3  5  9  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 3  4  8  16  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 4  5  13  25  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 5  6  18  36  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 6  7  24  49  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 7  8  31  64  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 8  9  40  81  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 9  10  50  100  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 10  11  61  121  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 11  12  75  144  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 12  13  91  169  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 13  14  109  196  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 14  15  130  225  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 15  16  155  256  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 16  17  183  289  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 17  18  216  324  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 18  19  253  361  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 19  20  296  400  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 20  21  345  441  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 21  22  402  484  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 22  23  466  529  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 23  24  540  576  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 24  25  625  625  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 25  26  721  676  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 26  27  831  729  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 27  28  957  784  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 28  29  1101  841  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 29  30  1264  900  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 30  31  1451  961  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 31  32  1663  1024  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 32  33  1905  1089  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 33  34  2180  1156  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 34  35  2494  1225  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 35  36  2850  1296  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 36  37  3256  1369  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 37  38  3718  1444  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 38  39  4242  1521  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 39  40  4838  1600  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 40  41  5516  1681  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 41  42  6286  1764  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 42  43  7161  1849  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 43  44  8154  1936  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 44  45  9283  2025  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 45  46  10565  2116  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 46  47  12020  2209  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 47  48  13672  2304  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 48  49  15548  2401  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 49  50  17677  2500  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 50  51  20094  2601  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 51  52  22837  2704  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 52  53  25950  2809  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 53  54  29483  2916  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 54  55  33492  3025  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 55  56  38041  3136  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 56  57  43202  3249  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 57  58  49058  3364  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 58  59  55703  3481  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 59  60  63242  3600  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 60  61  71795  3721  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 61  62  81499  3844  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 62  63  92508  3969  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 63  64  104997  4096  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 64  65  119167  4225  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 65  66  135242  4356  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 66  67  153480  4489  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 67  68  174170  4624  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 68  69  197644  4761  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 69  70  224276  4900  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 70  71  254492  5041  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 71  72  288773  5184  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 72  73  327669  5329  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 73  74  371800  5476  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 74  75  421875  5625  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 75  76  478692  5776  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 76  77  543165  5929  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 77  78  616324  6084  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 78  79  699344  6241  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 79  80  793558  6400  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 80  81  900478  6561  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 81  82  1021822  6724  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 82  83  1159542  6889  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 83  84  1315855  7056  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 84  85  1493277  7225  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 85  86  1694669  7396  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 86  87  1923279  7569  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 87  88  2182797  7744  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 88  89  2477417  7921  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 89  90  2811902  8100  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 90  91  3191665  8281  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 91  92  3622858  8464  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 92  93  4112469  8649  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 93  94  4668443  8836  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 94  95  5299809  9025  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 95  96  6016828  9216  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 96  97  6831164  9409  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 97  98  7756078  9604  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 98  99  8806644  9801  
[02-12 14:21:21]AddBoatLevel: count, level, money, exp 99  100  10000000  10000  
