[02-12 14:14:40]AddPfTable, curpf, uppf, count 1  8  1  
[02-12 14:21:21]AddCatTable, cat, pf, count  1  2  2  
[02-12 14:21:21]AddCatTable, cat, pf, count  1  4  3  
[02-12 14:21:21]AddCatTable, cat, pf, count  1  7  4  
[02-12 14:21:21]AddCatTable, cat, pf, count  1  9  5  
[02-12 14:21:21]AddCatTable, cat, pf, count  1  10  6  
[02-12 14:21:21]AddCatTable, cat, pf, count  1  11  7  
[02-12 14:21:21]AddCatTable, cat, pf, count  1  12  8  
[02-12 14:21:21]AddCatTable, cat, pf, count  1  16  9  
[02-12 14:21:21]AddCatTable, cat, pf, count  1  17  10  
[02-12 14:21:21]AddCatTable, cat, pf, count  2  1  1  
[02-12 14:21:21]AddCatTable, cat, pf, count  2  3  2  
[02-12 14:21:21]AddCatTable, cat, pf, count  2  6  3  
[02-12 14:21:21]AddCatTable, cat, pf, count  2  7  4  
[02-12 14:21:21]AddCatTable, cat, pf, count  2  8  5  
[02-12 14:21:21]AddCatTable, cat, pf, count  2  10  6  
[02-12 14:21:21]AddCatTable, cat, pf, count  2  17  7  
[02-12 14:21:21]AddCatTable, cat, pf, count  3  2  1  
[02-12 14:21:21]AddCatTable, cat, pf, count  3  3  2  
[02-12 14:21:21]AddCatTable, cat, pf, count  3  4  3  
[02-12 14:21:21]AddCatTable, cat, pf, count  3  5  4  
[02-12 14:21:21]AddCatTable, cat, pf, count  3  7  5  
[02-12 14:21:21]AddCatTable, cat, pf, count  3  11  6  
[02-12 14:21:21]AddCatTable, cat, pf, count  3  12  7  
[02-12 14:21:21]AddCatTable, cat, pf, count  3  13  8  
[02-12 14:21:21]AddCatTable, cat, pf, count  3  14  9  
[02-12 14:21:21]AddCatTable, cat, pf, count  3  15  10  
[02-12 14:21:21]AddCatTable, cat, pf, count  3  16  11  
[02-12 14:21:21]AddCatTable, cat, pf, count  3  17  12  
[02-12 14:21:21]AddCatTable, cat, pf, count  4  4  1  
[02-12 14:21:21]AddCatTable, cat, pf, count  4  5  2  
[02-12 14:21:21]AddCatTable, cat, pf, count  4  6  3  
[02-12 14:21:21]AddCatTable, cat, pf, count  4  7  4  
[02-12 14:21:21]AddCatTable, cat, pf, count  4  13  5  
[02-12 14:21:21]AddCatTable, cat, pf, count  4  14  6  
[02-12 14:21:21]AddCatTable, cat, pf, count  4  16  7  
[02-12 14:21:21]AddCatTable, cat, pf, count  4  17  8  
[02-12 14:21:21]AddCatTable, cat, pf, count  4  18  9  
